physical_time,window_id,t_start,t_end,active_jets,total_mass_flow
0.0,0,0.0,0.05,4,0.08
0.05,1,0.05,0.1,4,0.08
0.1,2,0.1,0.15,4,0.08
0.15,3,0.15,0.2,4,0.08
0.2,4,0.2,0.25,4,0.08
0.25,5,0.25,0.3,4,0.08
0.3,6,0.3,0.35,4,0.08
0.35,7,0.35,0.4,4,0.08
0.4,8,0.4,0.45,4,0.08
0.45,9,0.45,0.5,4,0.08
0.5,10,0.5,0.55,4,0.08
0.55,11,0.55,0.6,4,0.08
0.6,12,0.6,0.65,4,0.08
0.65,13,0.65,0.7,4,0.08
0.7,14,0.7,0.75,4,0.08
0.75,15,0.75,0.8,4,0.08
0.8,16,0.8,0.85,4,0.08
0.85,17,0.85,0.9,4,0.08
0.9,18,0.9,0.95,4,0.08
0.95,19,0.95,1.0,4,0.08
1.0,20,1.0,1.05,4,0.08
1.05,21,1.05,1.1,4,0.08
1.1,22,1.1,1.15,4,0.08
1.15,23,1.15,1.2,4,0.08
1.2,24,1.2,1.25,4,0.08
1.25,25,1.25,1.3,4,0.08
1.3,26,1.3,1.35,4,0.08
1.35,27,1.35,1.4,4,0.08
1.4,28,1.4,1.45,4,0.08
1.45,29,1.45,1.5,4,0.08
1.5,30,1.5,1.55,4,0.08
1.55,31,1.55,1.6,4,0.08
1.6,32,1.6,1.65,4,0.08
1.65,33,1.65,1.7,4,0.08
1.7,34,1.7,1.75,4,0.08
1.75,35,1.75,1.8,4,0.08
1.8,36,1.8,1.85,4,0.08
1.85,37,1.85,1.9,4,0.08
1.9,38,1.9,1.95,4,0.08
1.95,39,1.95,2.0,4,0.08
2.0,40,2.0,2.05,4,0.08
2.05,41,2.05,2.1,4,0.08
2.1,42,2.1,2.15,4,0.08
2.15,43,2.15,2.2,4,0.08
2.2,44,2.2,2.25,4,0.08
2.25,45,2.25,2.3,4,0.08
2.3,46,2.3,2.35,4,0.08
2.35,47,2.35,2.4,4,0.08
2.4,48,2.4,2.45,4,0.08
2.45,49,2.45,2.5,4,0.08
2.5,50,2.5,2.55,4,0.08
2.55,51,2.55,2.6,4,0.08
2.6,52,2.6,2.65,4,0.08
2.65,53,2.65,2.7,4,0.08
2.7,54,2.7,2.75,4,0.08
2.75,55,2.75,2.8,4,0.08
2.8,56,2.8,2.85,4,0.08
2.85,57,2.85,2.9,4,0.08
2.9,58,2.9,2.95,4,0.08
2.95,59,2.95,3.0,4,0.08
3.0,60,3.0,3.05,4,0.08
3.05,61,3.05,3.1,4,0.08
3.1,62,3.1,3.15,4,0.08
3.15,63,3.15,3.2,4,0.08
3.2,64,3.2,3.25,4,0.08
3.25,65,3.25,3.3,4,0.08
3.3,66,3.3,3.35,4,0.08
3.35,67,3.35,3.4,4,0.08
3.4,68,3.4,3.45,4,0.08
3.45,69,3.45,3.5,4,0.08
3.5,70,3.5,3.55,4,0.08
3.55,71,3.55,3.6,4,0.08
3.6,72,3.6,3.65,4,0.08
3.65,73,3.65,3.7,4,0.08
3.7,74,3.7,3.75,4,0.08
3.75,75,3.75,3.8,4,0.08
3.8,76,3.8,3.85,4,0.08
3.85,77,3.85,3.9,4,0.08
3.9,78,3.9,3.95,4,0.08
3.95,79,3.95,4.0,4,0.08
