physical_time,window_id,t_start,t_end,active_jets,total_mass_flow
0.0,0,0.0,0.05,4,0.04652873371767259
0.05,1,0.05,0.1,4,0.060327845562513985
0.1,2,0.1,0.15,4,0.07270339252606335
0.15,3,0.15,0.2,4,0.07963874312773615
0.2,4,0.2,0.25,4,0.07684911387693169
0.25,5,0.25,0.3,4,0.061993724209704885
0.3,6,0.3,0.35,4,0.037527572840893926
0.35,7,0.35,0.4,4,0.012418378210517327
0.4,8,0.4,0.45,4,6.261323759545246e-05
0.45,9,0.45,0.5,4,0.01081438685748851
0.5,10,0.5,0.55,4,0.04184503081297463
0.55,11,0.55,0.6,4,0.07288327749506664
0.6,12,0.6,0.65,4,0.07731971195338957
0.65,13,0.65,0.7,4,0.04691584584353413
0.7,14,0.7,0.75,4,0.00841788353629764
0.75,15,0.75,0.8,4,0.00448537680546699
0.8,16,0.8,0.85,4,0.04403791087726843
0.85,17,0.85,0.9,4,0.07902808520154114
0.9,18,0.9,0.95,4,0.05875188893990353
0.95,19,0.95,1.0,4,0.009405954664827179
1.0,20,1.0,1.05,4,0.009763004567443346
1.05,21,1.05,1.1,4,0.06296807033849092
1.1,22,1.1,1.15,4,0.07379414260998829
1.15,23,1.15,1.2,4,0.01833533938130351
1.2,24,1.2,1.25,4,0.007801659018965488
1.25,25,1.25,1.3,4,0.06735324451496873
1.3,26,1.3,1.35,4,0.06404820097705194
1.35,27,1.35,1.4,4,0.0034316097718588433
1.4,28,1.4,1.45,4,0.03463622863524641
1.45,29,1.45,1.5,4,0.07917685698600146
1.5,30,1.5,1.55,4,0.017549155093937552
1.55,31,1.55,1.6,4,0.019875431144274126
1.6,32,1.6,1.65,4,0.07998795274784817
1.65,33,1.65,1.7,4,0.019672154437486173
1.7,34,1.7,1.75,4,0.023503642871151486
1.75,35,1.75,1.8,4,0.07882970722468632
1.8,36,1.8,1.85,4,0.007116722504933048
1.85,37,1.85,1.9,4,0.04683847555041212
1.9,38,1.9,1.95,4,0.061466218145030775
1.95,39,1.95,2.0,4,0.00204358248129489
2.0,40,2.0,2.05,4,0.07812630714733969
2.05,41,2.05,2.1,4,0.01453331067682686
2.1,42,2.1,2.15,4,0.04683847555041183
2.15,43,2.15,2.2,4,0.051498600014639406
2.2,44,2.2,2.25,4,0.014231717363600498
2.25,45,2.25,2.3,4,0.07476470044657813
2.3,46,2.3,2.35,4,0.0009547818710961576
2.35,47,2.35,2.4,4,0.07998795274784816
2.4,48,2.4,2.45,4,0.0009042865395342937
2.45,49,2.45,2.5,4,0.07762191041633036
2.5,50,2.5,2.55,4,0.0035600466317873814
2.55,51,2.55,2.6,4,0.07604118844373271
2.6,52,2.6,2.65,4,0.003431609771858879
2.65,53,2.65,2.7,4,0.07783067591059775
2.7,54,2.7,2.75,4,0.0007158873518153808
2.75,55,2.75,2.8,4,0.07999905545173369
2.8,56,2.8,2.85,4,0.0013259500935268954
2.85,57,2.85,2.9,4,0.07379414260998829
2.9,58,2.9,2.95,4,0.015951799022947848
2.95,59,2.95,3.0,4,0.04907030201539311
3.0,60,3.0,3.05,4,0.049604886092252984
3.05,61,3.05,3.1,4,0.01219170230035593
3.1,62,3.1,3.15,4,0.07902808520154098
3.15,63,3.15,3.2,4,0.003399852705229396
3.2,64,3.2,3.25,4,0.05791426489084836
3.25,65,3.25,3.3,4,0.0511219282247849
3.3,66,3.3,3.35,4,0.004667767390305935
3.35,67,3.35,3.4,4,0.07731971195338946
3.4,68,3.4,3.45,4,0.02850139998536034
3.45,69,3.45,3.5,4,0.015020953224610953
3.5,70,3.5,3.55,4,0.07968949075179291
3.55,71,3.55,3.6,4,0.025530949252778764
3.6,72,3.6,3.65,4,0.01241837821051715
3.65,73,3.65,3.7,4,0.07720549772768551
3.7,74,3.7,3.75,4,0.04184503081297423
3.75,75,3.75,3.8,4,0.00104195049351687
3.8,76,3.8,3.85,4,0.057350294970498754
3.85,77,3.85,3.9,4,0.07270339252606288
3.9,78,3.9,3.95,4,0.01351808134678946
3.95,79,3.95,4.0,4,0.011522022050461446
